group_id_text	group_name	group_type	group_keyword	group_members	group_description
non_epileptic_seizures	Non-Epileptic Seizures	Public	 Neurology 	15	This is a group for those who have had seizures which have not been diagnosed as epilepsy whether Psychogenic (PNES) or tied in with a medical condition such as POTS, drug use/withdrawal, or any other seizure-like activity which is NOT epilepsy.  This is for those who need support in options of who to see, tests to run, or where to get treatment.
november_2012_babies	November 2012 Babies	Public	 Pregnancy 	12	A place for expectant moms to share.
naturopathy	Naturopathic	Public	 Alternative Medicine 	1	Naturopathy is the art and science of disease diagnosis, treatment and prevention using the healing power of nature. Naturopathic medicine aims to treat the root of the problem and cause of the disease. The health of the mind, body and spirit are all taken into consideration.A wide variety of chronic and acute conditions can be helped naturally with Naturopathy. Some of these conditions are:    Anxiety, Depression, Insomnia    Acne, Eczema, Psoriasis    Allergies and Environmental Illnesses    Arthritis    Chronic Fatigue Syndrome    Digestive Disorders    Degenerative Diseases    Menopause and PMS    Infertility    Pregnancy-related constipation and morning sickness    Post partum depression    Mastitis and breast feeding support
new_members_to_site_looking_for_friends	New members to site looking for friends	Public	 MedHelp General 	1	I just joined this site and didn't see a group for this so I decided to start one. I have never ran a group before, except on Facebook so if I do anything wrong, I apologize. I am looking for friends with similar interests and do not feel comfortable sending add requests to random people. You can look on my profile and see what health issues I deal with but pretty much almost every system of my body has been affected in some way. Join and chat away about anything that is within the guidelines of this site. Please no religious, political, or sexual conversations in here.
gaming_group	Please_Help950's Gaming Group	Public	 MedHelp General 	32	This is a group for anyone of any age, to get together to create/play games. If you would like, this is also a place in where you can chat about any kinds of games. Ex. Video Games, Board Games, Card games, etc.A great place to help ease your mind of your pain and have fun!!!!! :)
percocetrecoverygroup	Percocet Recovery.	Public	 Addiction 	29	A group for those who have battled or is currently battling an addiction with Percocet. In this group, we can all talk about our stories, where we are today and what we expect for the future!
panic_disorder_group	panic disorder group	Public	 Mental/Emotional Health 	37	We are a group that has panic disorder.
pet_anti_aging_wellness_society	Pet Anti-Aging Wellness Society	Public	 Pets 	1	m
panic_attacks_and_anxiety_disorder	Panic attacks and anxiety disorder	Public	 Mental/Emotional Health 	79	For those people who suffer from panic attacks even with meds, types of treatment,SAD effects and methods of dealing with them.
persistent_vegetative___minimally_conscious_state_advisory_group	Persistent Vegetative & Minimally Conscious State advisory Group	Public	 Neurology 	1	To help and gauide the caregivers of PVS & MCS persons.
people_with_severe_systolic_dysfunction	people with severe systolic dysfunction	 Private 	 Heart 	1	patient of severe systolic dysfunction
persistent_nausea	Persistent nausea	Public	 General Health 	3	Daily feelings of nausea for no apparent reason
patients_and_doctors	Patients and Doctors	Public	 MedHelp General 	7	Having numerous doctor appointments over the years, I have found myself in a variety of circumstances regarding patient doctor relationships. While the positive list is much smaller than the negative list, it is more important and worth a ten year search to find a quality primary care physician. Experience is a great teacher and sharing experiences can be very helpful to many people. A beating heart indicates life, Love and a beating heart brings kindness, trust, concern, comfort, encouragement, and a desire to help others. The goal - to improve doctor patient relationships by taking a look at what is happening and learning how to make things better.
picks_disease_ftd_and_dying	Picks disease FTD and dying	Public	 Neurology 	2	This is a group specifically for people who have Picks disease or FTD, frontal teporal lobe disorder.  We will talk about what it is like to live with Picks/FTD, symptoms, emotions, frustrations, caregivers.  We will also talk about the journey of dying since it is a ternimal disease.
parent_iep_special_education_community	Parent IEP/Special Education Community	Public	 Children's Health 	17	A community for parents to ask questions regarding their child's IEP program and discuss options with other parents on how to get through the process.  We are also all here to support each other when we all go through the challenges and miscommunications that can definitely occur when going through the IEP/Special Education process.  Our children are a gift and should be treated that way.
pet_grief_support___in_loving_memory_of_our_pet	Pet Grief Support - In Loving Memory of Our Pet	Public	 Pets 	35	On February 7th, my life was suddenly changed when I loss my most beloved 10 yr. old furbaby rottweiler Toby to a heart attack. I raised Toby since he was only six weeks old and was more than just a dog, he was a very important member of my family. When Toby died I felt as is a part of me had died with him and the pain, grief and sorrow that I experienced for over a year was life changing. As a long time active member with MedHelp, I felt that we needed a special forum for people as myself who have loved and loss a beloved pet and in need of comfort and support to express their feelings and share their story with others who have experience the pain of losing a pet.Only someone who has loved and loss a furbaby can understand the pain, grief and  sorrow that is experienced, so I dedicated this special forum to all our beloved furbaby  (cat, dogs, birds, horses, all creatures) that have passed and have left a paw print of love in our heart and taught us what true unconditional love is. They have now crossed over to that special place called Rainbow Bridge.
